recording_id,species_id,songtype_id,is_tp,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11
8028f97c2,12,1,0,1.3073546572071504,-4.0994989472228855,-2.6706486106388776,1.70290817403888,1.4298298294168996,0.7162600707342927,-0.027898589134777715,-0.6921311612125588,1.0720151571675036,-0.48100613568769196,-0.9750707967213215
7e60a570a,23,1,0,-3.3318332828409534,-0.5653630821852361,0.8823176936582385,0.7274569110732371,0.07724495575467502,0.8242364136143451,-0.20028058366885787,-0.7070193896140302,0.1446947094609727,0.46453847623141553,-0.24474331657690257
b441cf212,23,4,1,-6.952087463170739,-1.4657546025105632,-3.543581243116033,-0.07168570308980213,-0.4689193051529212,-0.1671142588799119,0.3586507602017437,-0.7401848358460628,-0.3281545253179118,0.2788639446013202,0.2227379584215524
cddceb09a,12,1,0,0.07059290561856103,-1.4307219276539715,-2.7658722100875126,-0.8417487079801228,-0.821999337112511,-0.7557657028367363,0.20953672631284317,-0.20468807051241247,-1.29099532280127,0.6614043731721396,0.5741730857165508
adbe22d73,10,1,0,-6.456916414954058,-1.8170611401370833,1.3218088028851915,-0.920727374349357,-0.4693863902522216,0.04060704107857684,-0.03043107110755046,-0.4609631322114782,0.03511096383043762,-0.1328418059253014,0.33181209391699273
acb80ff69,17,1,0,-2.216396687570891,1.4656793228575211,-3.220464965247438,2.0211031625172367,-1.2864267001721792,-0.8000975957373071,0.0008931669121296159,0.10454679297159698,-1.8554102727788448,-0.5540273804860785,-0.5268692602318114
b1567318d,17,4,0,-6.8739489519358115,-1.9025315071249698,-2.246285279601316,-0.42063981560788,-0.7502279535652678,0.7507059352284219,0.22996208949219196,-0.243399602516083,-0.19199920302710902,0.15409958995205517,-0.2627635294235513
23f2f2080,17,1,0,-2.4531124416749406,-0.07492300119805911,-3.4106329795355927,-2.5669698984994715,2.851087196702263,-0.4844836457058193,0.5052628054312052,-0.586611494788277,0.07399790733894206,-0.7501537505973033,0.3651186691517632
c12e0a62b,17,1,1,0.9140065640415445,-1.8275337524455528,-2.690498854623544,0.19243010065117588,-0.9612795211196695,-1.1345521990437986,-0.1860046139380148,0.5499359807489681,-0.22639893200686836,-0.2888829740180514,-0.605115902738053
a12182698,17,1,0,4.135393994567281,-0.511677273590079,-2.434926468694751,3.4583264984568314,-0.9535013921263233,0.8045674414837064,2.1443349302230814,0.7727089371166537,-0.07924933573580219,-0.251312860265512,-0.8100306847830046
